iter	Passed	Remaining
497	630	1268
498	631	1266
499	632	1265
500	634	1264
501	635	1263
502	636	1261
503	637	1260
504	639	1259
505	640	1258
506	641	1256
507	642	1255
508	644	1253
509	645	1252
510	646	1251
511	647	1249
512	649	1249
513	650	1247
514	651	1246
515	652	1245
516	654	1243
517	655	1242
518	656	1241
519	658	1240
520	659	1238
521	660	1237
522	661	1236
523	663	1235
524	664	1234
525	665	1232
526	667	1231
527	668	1230
528	669	1228
529	670	1227
530	672	1226
531	673	1225
532	674	1224
533	675	1222
534	677	1221
535	678	1220
536	679	1219
537	681	1217
538	682	1216
539	683	1215
540	684	1213
541	685	1212
542	687	1211
543	688	1209
544	689	1208
545	690	1207
546	692	1205
547	693	1204
548	694	1202
549	695	1201
550	697	1200
551	698	1199
552	699	1197
553	700	1196
554	701	1195
555	703	1193
556	704	1192
557	705	1191
558	706	1189
559	708	1188
560	709	1187
561	710	1186
562	711	1184
563	713	1183
564	714	1182
565	715	1181
566	717	1179
567	718	1178
568	719	1177
569	720	1175
570	721	1174
571	723	1173
572	724	1172
573	725	1170
574	726	1169
575	728	1168
576	729	1166
577	730	1165
578	731	1164
579	733	1162
580	734	1161
581	735	1160
582	736	1159
583	738	1157
584	739	1156
585	740	1155
586	741	1153
587	743	1152
588	744	1151
589	745	1150
590	746	1148
591	748	1147
592	749	1146
593	750	1144
594	751	1143
595	753	1142
596	754	1141
597	755	1139
598	756	1138
599	758	1137
600	759	1136
601	760	1134
602	762	1133
603	763	1132
604	764	1130
605	765	1129
606	766	1128
607	768	1127
608	769	1125
609	770	1124
610	771	1123
611	773	1121
612	774	1120
613	775	1119
614	777	1118
615	778	1116
616	779	1115
617	780	1114
618	781	1112
619	783	1112
620	784	1110
621	786	1109
622	787	1108
623	788	1107
624	789	1105
625	790	1104
626	792	1103
627	793	1101
628	794	1100
629	795	1099
630	797	1097
631	798	1096
632	799	1095
633	801	1094
634	802	1092
635	803	1091
636	804	1090
637	805	1088
638	807	1087
639	808	1086
640	809	1084
641	810	1083
642	811	1082
643	813	1080
644	814	1079
645	815	1078
646	817	1077
647	818	1076
648	819	1074
649	820	1073
650	822	1072
651	823	1070
652	824	1069
653	825	1068
654	827	1067
655	828	1065
656	829	1064
657	830	1062
658	831	1061
659	833	1060
660	834	1058
661	835	1057
662	836	1056
663	837	1054
664	839	1053
665	840	1052
666	841	1051
667	842	1049
668	844	1048
669	845	1047
670	846	1046
671	848	1044
672	849	1043
673	850	1042
674	851	1041
675	852	1039
676	854	1038
677	855	1037
678	856	1035
679	857	1034
680	859	1033
681	860	1031
682	861	1030
683	862	1029
684	863	1027
685	865	1026
686	866	1025
687	867	1023
688	868	1022
689	869	1021
690	871	1019
691	872	1018
692	873	1017
693	874	1015
694	876	1014
695	877	1013
696	878	1012
697	879	1010
698	881	1009
699	882	1008
700	883	1006
701	884	1005
702	885	1004
703	887	1003
704	888	1002
705	890	1001
706	891	999
707	892	998
708	893	997
709	894	995
710	896	994
711	897	993
712	898	992
713	900	990
714	901	989
715	902	988
716	904	987
717	905	985
718	906	984
719	907	983
720	909	982
721	910	980
722	911	979
723	912	978
724	914	977
725	915	975
726	916	974
727	917	973
728	919	971
729	920	970
730	921	969
731	922	968
732	924	966
733	925	965
734	926	964
735	927	963
736	929	962
737	930	960
738	931	959
739	933	958
740	934	957
741	935	955
742	936	954
743	938	953
744	939	952
745	940	950
746	941	949
747	943	948
748	944	946
749	945	945
750	946	944
751	948	943
752	949	941
753	950	940
754	951	939
755	953	938
756	954	936
757	955	935
758	957	934
759	958	933
760	959	931
761	961	930
762	962	929
763	963	928
764	964	926
765	966	925
766	967	924
767	968	923
768	969	921
769	971	920
770	972	919
771	973	917
772	974	916
773	975	915
774	977	914
775	978	912
776	979	911
777	980	910
778	981	908
779	983	907
780	984	906
781	985	905
782	987	903
783	988	902
784	989	901
785	990	899
786	992	898
787	993	897
788	994	896
789	995	894
790	996	893
791	998	892
792	999	890
793	1000	889
794	1001	888
795	1003	887
796	1004	886
797	1005	884
798	1007	883
799	1008	882
800	1009	881
801	1011	880
802	1012	878
803	1013	877
804	1015	876
805	1016	875
806	1017	873
807	1018	872
808	1019	871
809	1021	869
810	1022	868
811	1023	867
812	1025	866
813	1026	864
814	1027	863
815	1028	862
816	1030	861
817	1031	859
818	1032	858
819	1033	857
820	1035	856
821	1036	854
822	1037	853
823	1039	852
824	1040	851
825	1041	850
826	1043	848
827	1044	847
828	1045	846
829	1046	845
830	1048	843
831	1049	842
832	1050	841
833	1051	839
834	1053	838
835	1054	837
836	1055	836
837	1056	834
838	1058	833
839	1059	832
840	1060	831
841	1061	829
842	1063	828
843	1064	827
844	1065	826
845	1066	824
846	1068	823
847	1069	822
848	1070	820
849	1071	819
850	1073	818
851	1074	817
852	1075	815
853	1076	814
854	1077	813
855	1079	811
856	1080	810
857	1081	809
858	1082	807
859	1083	806
860	1085	805
861	1086	804
862	1087	802
863	1088	801
864	1090	800
865	1091	798
866	1092	797
867	1093	796
868	1095	795
869	1096	793
870	1097	792
871	1098	791
872	1099	789
873	1101	788
874	1102	787
875	1103	786
876	1104	784
877	1106	783
878	1107	782
879	1108	780
880	1109	779
881	1110	778
882	1112	777
883	1113	775
884	1114	774
885	1115	773
886	1117	772
887	1118	770
888	1119	769
889	1120	768
890	1122	766
891	1123	765
892	1124	764
893	1125	763
894	1126	761
895	1128	760
896	1129	759
897	1130	757
898	1131	756
899	1132	755
900	1134	754
901	1135	752
902	1136	751
903	1137	750
904	1139	748
905	1140	747
906	1141	746
907	1142	745
908	1144	743
909	1145	742
910	1146	741
911	1147	739
912	1148	738
913	1150	737
914	1151	736
915	1152	734
916	1153	733
917	1155	732
918	1156	731
919	1157	729
920	1158	728
921	1159	727
922	1161	725
923	1162	724
924	1163	723
925	1164	722
926	1166	720
927	1167	719
928	1168	718
929	1169	716
930	1170	715
931	1172	714
932	1173	713
933	1174	711
934	1175	710
935	1177	709
936	1178	707
937	1179	706
938	1180	705
939	1181	704
940	1183	702
941	1184	701
942	1185	700
943	1186	698
944	1187	697
945	1189	696
946	1190	695
947	1191	693
948	1192	692
949	1194	691
950	1195	690
951	1196	688
952	1197	687
953	1198	686
954	1200	684
955	1201	683
956	1202	682
957	1203	681
958	1204	679
959	1206	678
960	1207	677
961	1208	675
962	1209	674
963	1210	673
964	1212	671
965	1213	670
966	1214	669
967	1215	668
968	1217	666
969	1218	665
970	1219	664
971	1220	663
972	1221	661
973	1223	660
974	1224	659
975	1225	658
976	1226	656
977	1228	655
978	1229	654
979	1230	652
980	1231	651
981	1232	650
982	1234	649
983	1235	647
984	1236	646
985	1237	645
986	1239	644
987	1240	642
988	1241	641
989	1242	640
990	1243	638
991	1245	637
992	1246	636
993	1247	635
994	1248	633
995	1249	632
996	1251	631
997	1252	629
998	1253	628
999	1254	627
1000	1256	626
1001	1257	624
1002	1258	623
1003	1259	622
1004	1260	621
1005	1262	619
1006	1263	618
1007	1264	617
1008	1265	615
1009	1266	614
1010	1268	613
1011	1269	612
1012	1270	610
1013	1271	609
1014	1273	608
1015	1274	607
1016	1275	605
1017	1276	604
1018	1277	603
1019	1279	601
1020	1280	600
1021	1281	599
1022	1282	598
1023	1284	596
1024	1285	595
1025	1286	594
1026	1288	593
1027	1289	591
1028	1290	590
1029	1291	589
1030	1292	588
1031	1294	586
1032	1295	585
1033	1296	584
1034	1297	583
1035	1299	581
1036	1300	580
1037	1301	579
1038	1302	578
1039	1304	576
1040	1305	575
1041	1306	574
1042	1307	573
1043	1309	571
1044	1310	570
1045	1311	569
1046	1312	567
1047	1314	566
1048	1315	565
1049	1316	564
1050	1317	562
1051	1318	561
1052	1320	560
1053	1321	559
1054	1322	557
1055	1323	556
1056	1324	555
1057	1326	554
1058	1327	552
1059	1328	551
1060	1329	550
1061	1330	548
1062	1332	547
1063	1333	546
1064	1334	545
1065	1335	543
1066	1337	542
1067	1338	541
1068	1339	540
1069	1340	538
1070	1342	537
1071	1343	536
1072	1344	535
1073	1345	533
1074	1346	532
1075	1348	531
1076	1349	529
1077	1350	528
1078	1351	527
1079	1353	526
1080	1354	524
1081	1355	523
1082	1356	522
1083	1357	521
1084	1359	519
1085	1360	518
1086	1361	517
1087	1362	516
1088	1364	514
1089	1365	513
1090	1366	512
1091	1367	511
1092	1368	509
1093	1370	508
1094	1371	507
1095	1372	505
1096	1373	504
1097	1374	503
1098	1376	502
1099	1377	500
1100	1378	499
1101	1379	498
1102	1381	497
1103	1382	495
1104	1383	494
1105	1384	493
1106	1385	492
1107	1387	490
1108	1388	489
1109	1389	488
1110	1390	486
1111	1392	485
1112	1393	484
1113	1394	483
1114	1395	481
1115	1396	480
1116	1397	479
1117	1399	478
1118	1400	476
1119	1401	475
1120	1402	474
1121	1404	473
1122	1405	471
1123	1406	470
1124	1407	469
1125	1409	468
1126	1410	466
1127	1411	465
1128	1412	464
1129	1414	463
1130	1415	461
1131	1416	460
1132	1417	459
1133	1418	457
1134	1420	456
1135	1421	455
1136	1422	454
1137	1423	452
1138	1424	451
1139	1426	450
1140	1427	449
1141	1428	447
1142	1429	446
1143	1430	445
1144	1432	444
1145	1433	442
1146	1434	441
1147	1435	440
1148	1436	438
1149	1438	437
1150	1439	436
1151	1440	435
1152	1441	433
1153	1443	432
1154	1444	431
1155	1445	430
1156	1446	428
1157	1448	427
1158	1449	426
1159	1450	425
1160	1451	423
1161	1452	422
1162	1454	421
1163	1455	420
1164	1456	418
1165	1457	417
1166	1458	416
1167	1460	415
1168	1461	413
1169	1462	412
1170	1463	411
1171	1464	409
1172	1466	408
1173	1467	407
1174	1468	406
1175	1469	404
1176	1471	403
1177	1472	402
1178	1473	401
1179	1474	399
1180	1476	398
1181	1477	397
1182	1478	396
1183	1479	394
1184	1481	393
1185	1482	392
1186	1483	391
1187	1484	389
1188	1485	388
1189	1487	387
1190	1488	386
1191	1489	384
1192	1490	383
1193	1491	382
1194	1493	381
1195	1494	379
1196	1495	378
1197	1496	377
1198	1498	376
1199	1499	374
1200	1500	373
1201	1501	372
1202	1503	371
1203	1504	369
1204	1505	368
1205	1506	367
1206	1507	366
1207	1509	364
1208	1510	363
1209	1511	362
1210	1512	360
1211	1513	359
1212	1515	358
1213	1516	357
1214	1517	355
1215	1518	354
1216	1519	353
1217	1521	352
1218	1522	350
1219	1523	349
1220	1524	348
1221	1525	347
1222	1527	345
1223	1528	344
1224	1529	343
1225	1530	342
1226	1532	340
1227	1533	339
1228	1534	338
1229	1535	337
1230	1537	335
1231	1538	334
1232	1539	333
1233	1541	332
1234	1542	330
1235	1543	329
1236	1545	328
1237	1546	327
1238	1547	326
1239	1549	324
1240	1550	323
1241	1551	322
1242	1552	321
1243	1554	319
1244	1555	318
1245	1556	317
1246	1558	316
1247	1559	314
1248	1560	313
1249	1562	312
1250	1563	311
1251	1564	309
1252	1566	308
1253	1567	307
1254	1568	306
1255	1569	304
1256	1571	303
1257	1572	302
1258	1574	301
1259	1575	300
1260	1576	298
1261	1578	297
1262	1579	296
1263	1580	295
1264	1581	293
1265	1583	292
1266	1584	291
1267	1585	290
1268	1587	288
1269	1588	287
1270	1589	286
1271	1591	285
1272	1592	283
1273	1593	282
1274	1595	281
1275	1596	280
1276	1597	278
1277	1598	277
1278	1600	276
1279	1601	275
1280	1602	274
1281	1604	272
1282	1605	271
1283	1606	270
1284	1608	269
1285	1609	267
1286	1610	266
1287	1611	265
1288	1613	264
1289	1614	262
1290	1616	261
1291	1617	260
1292	1618	259
1293	1619	257
1294	1621	256
1295	1622	255
1296	1624	254
1297	1625	252
1298	1626	251
1299	1627	250
1300	1629	249
1301	1630	247
1302	1631	246
1303	1633	245
1304	1634	244
1305	1635	243
1306	1637	241
1307	1638	240
1308	1639	239
1309	1640	238
1310	1642	236
1311	1643	235
1312	1644	234
1313	1646	233
1314	1647	231
1315	1648	230
1316	1650	229
1317	1651	228
1318	1652	226
1319	1654	225
1320	1655	224
1321	1656	223
1322	1657	221
1323	1659	220
1324	1660	219
1325	1661	218
1326	1663	216
1327	1664	215
1328	1665	214
1329	1667	213
1330	1668	211
1331	1669	210
1332	1671	209
1333	1672	208
1334	1674	206
1335	1675	205
1336	1676	204
1337	1678	203
1338	1679	201
1339	1681	200
1340	1682	199
1341	1684	198
1342	1685	197
1343	1686	195
1344	1688	194
1345	1689	193
1346	1690	192
1347	1692	190
1348	1693	189
1349	1695	188
1350	1696	187
1351	1697	185
1352	1699	184
1353	1700	183
1354	1701	182
1355	1703	180
1356	1704	179
1357	1705	178
1358	1706	177
1359	1708	175
1360	1709	174
1361	1710	173
1362	1711	172
1363	1713	170
1364	1714	169
1365	1715	168
1366	1717	167
1367	1718	165
1368	1719	164
1369	1720	163
1370	1722	162
1371	1723	160
1372	1724	159
1373	1725	158
1374	1727	157
1375	1728	155
1376	1729	154
1377	1730	153
1378	1732	151
1379	1733	150
1380	1734	149
1381	1735	148
1382	1737	146
1383	1738	145
1384	1739	144
1385	1740	143
1386	1742	141
1387	1743	140
1388	1744	139
1389	1745	138
1390	1747	136
1391	1748	135
1392	1749	134
1393	1750	133
1394	1751	131
1395	1753	130
1396	1754	129
1397	1755	128
1398	1756	126
1399	1758	125
1400	1759	124
1401	1760	123
1402	1761	121
1403	1762	120
1404	1764	119
1405	1765	118
1406	1766	116
1407	1767	115
1408	1769	114
1409	1770	112
1410	1771	111
1411	1772	110
1412	1773	109
1413	1775	107
1414	1776	106
1415	1777	105
1416	1778	104
1417	1779	102
1418	1781	101
1419	1782	100
1420	1783	99
1421	1784	97
1422	1786	96
1423	1787	95
1424	1788	94
1425	1789	92
1426	1791	91
1427	1792	90
1428	1793	89
1429	1794	87
1430	1795	86
1431	1796	85
1432	1798	84
1433	1799	82
1434	1800	81
1435	1802	80
1436	1803	79
1437	1804	77
1438	1805	76
1439	1806	75
1440	1807	74
1441	1809	72
1442	1810	71
1443	1811	70
1444	1813	69
1445	1814	67
1446	1815	66
1447	1816	65
1448	1818	63
1449	1819	62
1450	1820	61
1451	1821	60
1452	1822	58
1453	1824	57
1454	1825	56
1455	1826	55
1456	1827	53
1457	1828	52
1458	1830	51
1459	1831	50
1460	1832	48
1461	1833	47
1462	1834	46
1463	1836	45
1464	1837	43
1465	1838	42
1466	1839	41
1467	1841	40
1468	1842	38
1469	1843	37
1470	1844	36
1471	1845	35
1472	1847	33
1473	1848	32
1474	1849	31
1475	1850	30
1476	1852	28
1477	1853	27
1478	1854	26
1479	1855	25
1480	1857	23
1481	1858	22
1482	1859	21
1483	1860	20
1484	1861	18
1485	1863	17
1486	1864	16
1487	1865	15
1488	1866	13
1489	1867	12
1490	1869	11
1491	1870	10
1492	1871	8
1493	1872	7
1494	1874	6
1495	1875	5
1496	1876	3
1497	1877	2
1498	1878	1
1499	1880	0
