iter	RMSE
0	109.6580751
1	109.1446242
2	108.6350785
3	108.6018562
4	108.5678633
5	108.3939144
6	108.3617574
7	108.2129242
8	108.1811552
9	108.1424226
10	107.6077911
11	107.0630728
12	106.5677986
13	106.5299958
14	106.0961381
15	105.8239652
16	105.6460657
17	105.4872446
18	104.9957348
19	104.5087991
20	104.0119599
21	103.7202009
22	103.686828
23	103.65611
24	103.618817
25	103.1879214
26	103.1558905
27	103.1283813
28	102.6442668
29	102.6066171
30	102.4301157
31	102.3938411
32	102.3558498
33	102.0678133
34	102.0319451
35	101.9953502
36	101.8440261
37	101.8129165
38	101.3361774
39	101.1785913
40	101.1439653
41	101.0287075
42	100.8822792
43	100.5348481
44	100.2599048
45	99.8339005
46	99.80069723
47	99.56947858
48	99.40516569
49	99.3708865
50	99.33772582
51	98.88034818
52	98.84823816
53	98.82088549
54	98.36130645
55	98.19927033
56	97.74801428
57	97.72100305
58	97.689075
59	97.46311774
60	97.22154974
61	97.1035249
62	96.65926168
63	96.27688422
64	96.24571958
65	96.12096342
66	95.98391619
67	95.94892871
68	95.9168562
69	95.62581116
70	95.17984323
71	95.04469582
72	95.0137788
73	94.57823725
74	94.3609142
75	94.19900667
76	94.1678608
77	94.13723745
78	93.70430515
79	93.27866331
80	93.1292548
81	92.68013778
82	92.64933478
83	92.40972233
84	91.99558001
85	91.76539054
86	91.44526771
87	91.03866308
88	90.5949476
89	90.23030602
90	89.823658
91	89.63557936
92	89.48880305
93	89.08056125
94	88.68293351
95	88.54524852
96	88.12479612
97	87.7357248
98	87.70581565
99	87.32306889
100	86.98816642
101	86.9564673
102	86.92639055
103	86.79808594
104	86.66330776
105	86.28125587
106	86.0521606
107	85.93709797
108	85.90614052
109	85.52662075
110	85.39823073
111	85.02762645
112	84.93955285
113	84.89953822
114	84.52239226
115	84.49267073
116	84.39178058
117	84.02548817
118	83.65908546
119	83.43264421
120	83.05347644
121	82.68942032
122	82.33575394
123	81.97133495
124	81.61719983
125	81.50878266
126	81.33260385
127	81.24817514
128	81.21846423
129	81.18922804
130	80.9888846
131	80.95640394
132	80.92799474
133	80.89905141
134	80.87105
135	80.68561556
136	80.47703991
137	80.17570858
138	79.94958426
139	79.6112877
140	79.58224378
141	79.2442347
142	78.91081633
143	78.71507133
144	78.59581902
145	78.37593243
146	78.34463046
147	78.31609831
148	78.11980102
149	78.08464015
150	78.05642065
151	77.93405756
152	77.90243139
153	77.87584756
154	77.55016474
155	77.22358837
156	77.19720935
157	77.16812373
158	77.086861
159	76.908536
160	76.88179548
161	76.55763982
162	76.23743793
163	75.91961071
164	75.89351726
165	75.57479304
166	75.47678972
167	75.15616137
168	74.84285691
169	74.52667082
170	74.2209273
171	74.19465515
172	74.01946924
173	73.7153807
174	73.53388276
175	73.33405001
176	73.15772697
177	72.83768221
178	72.7095107
179	72.68359235
180	72.36278823
181	72.19824796
182	72.02123418
183	71.94060784
184	71.87170867
185	71.58039892
186	71.55495103
187	71.45448738
188	71.2966669
189	71.2726218
190	71.24867814
191	71.21440589
192	71.11394319
193	71.02674017
194	70.80734412
195	70.78336618
196	70.75993339
197	70.47414993
198	70.37956316
199	70.35557901
200	70.07113514
201	69.78472702
202	69.61151703
203	69.51821637
204	69.49508046
205	69.21624195
206	69.12140761
207	68.84098704
208	68.56520031
209	68.54212538
210	68.2725947
211	67.98038089
212	67.80153677
213	67.61753587
214	67.59383715
215	67.37197986
216	67.27376895
217	67.18708113
218	67.02093267
219	66.95106878
220	66.9287691
221	66.81992867
222	66.79782928
223	66.70734916
224	66.59983733
225	66.46258394
226	66.37602949
227	66.09609637
228	66.07447826
229	65.81333795
230	65.7896784
231	65.76852809
232	65.51347173
233	65.3794169
234	65.23948739
235	65.10583618
236	65.02328545
237	64.77302444
238	64.52223038
239	64.45828378
240	64.21151877
241	64.06178166
242	63.89776242
243	63.76650976
244	63.68671046
245	63.44467421
246	63.36870128
247	63.29615702
248	63.05618736
249	63.03607909
250	62.88451158
251	62.86428133
252	62.83702717
253	62.68768073
254	62.66780267
255	62.64852547
256	62.55546057
257	62.43292297
258	62.19621827
259	62.12303091
260	62.10388012
261	61.85991728
262	61.68372812
263	61.53683008
264	61.46450699
265	61.39265915
266	61.37150935
267	61.14090111
268	60.90621459
269	60.8729289
270	60.63785394
271	60.61877354
272	60.54770096
273	60.5285296
274	60.27514433
275	60.25706802
276	60.19592192
277	60.17788054
278	60.15900324
279	60.09131457
280	60.07229943
281	59.97124123
282	59.94355566
283	59.88839415
284	59.8199823
285	59.80274879
286	59.78533
287	59.76800195
288	59.63541646
289	59.61629975
290	59.59943297
291	59.4512905
292	59.4339454
293	59.41701188
294	59.3577773
295	59.30698357
296	59.25912339
297	59.04160835
298	58.9897197
299	58.96315321
300	58.93583081
301	58.72066445
302	58.4907165
303	58.26242155
304	58.04771088
305	57.83164656
306	57.75878167
307	57.61549735
308	57.51641328
309	57.45490541
310	57.43940334
311	57.23910321
312	57.21406586
313	57.19877922
314	57.18350273
315	57.12139337
316	57.10592501
317	57.09112047
318	57.02647461
319	57.0102537
320	56.94055244
321	56.73208494
322	56.66241017
323	56.64744406
324	56.61260213
325	56.59784576
326	56.49655429
327	56.48237138
328	56.33379618
329	56.24519784
330	56.23096503
331	56.17093261
332	56.11898016
333	56.02749056
334	56.00337634
335	55.98988129
336	55.93126476
337	55.85245352
338	55.73030098
339	55.71510876
340	55.65654764
341	55.64314517
342	55.62832655
343	55.55756471
344	55.54297656
345	55.53022307
346	55.33112978
347	55.2750075
348	55.21773378
349	55.20520312
350	55.19256699
351	55.17856767
352	55.12022824
353	54.91491158
354	54.86010728
355	54.84776878
356	54.78658115
357	54.59089483
358	54.53425571
359	54.4468493
360	54.39004031
361	54.30531179
362	54.25173131
363	54.19695361
364	54.18341572
365	53.98013633
366	53.9400045
367	53.83411092
368	53.6150044
369	53.56260395
370	53.5100853
371	53.49688241
372	53.41415651
373	53.29085235
374	53.2743975
375	53.08801508
376	53.00514672
377	52.95868021
378	52.76158168
379	52.72730687
380	52.70959265
381	52.6888211
382	52.62710624
383	52.58878006
384	52.39645919
385	52.2748335
386	52.17496001
387	52.13752012
388	51.94450869
389	51.86241857
390	51.78268285
391	51.76077132
392	51.63285819
393	51.62013295
394	51.60749826
395	51.55816089
396	51.37452424
397	51.36200012
398	51.35007583
399	51.30270168
400	51.10049133
401	51.08819984
402	51.07603485
403	51.0636568
